keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01,kurum_sorgusu,oyuncu_dogrulama,faset_notu,mantik_denetim,katman
türkiye sigorta basketbol süper ligi puan durumu,Basketbol Süper Ligi,Basketbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,pd,170,LOW,0,,,,evet,10,70,260,210,210,210,390,260,260,210,50,50,40,90,390,170,140,110,170,210,110,70,10,20,10,50,210,210,170,90,170,hayır,,,Geçerli,Ana Liste
türkiye sigorta basketbol süper ligi fikstür,Basketbol Süper Ligi,Basketbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,fik,50,LOW,0,,,,evet,20,20,20,40,50,70,110,110,70,70,50,20,10,40,70,70,70,40,50,70,70,90,40,110,20,40,70,110,90,110,170,hayır,,,Geçerli,Ana Liste
türkiye sigorta basketbol süper ligi canlı izle,Basketbol Süper Ligi,Basketbol,Lig,1. Seviye,Üst,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,izle,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
fiba şampiyonlar ligi,FIBA Şampiyonlar Ligi,Basketbol,Kıta Turnuvası,Kıta Üstü,Niş,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,Doğrulanacak,Yıllık,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,jen,1900,LOW,1,0.94,,,evet,170,390,880,2900,2400,2900,3600,1900,2900,3600,880,70,210,480,12100,5400,5400,1300,4400,2900,1900,3600,590,170,110,260,320,2400,4400,1600,6600,hayır,,,Geçerli,Ana Liste
fiba şampiyonlar ligi puan durumu,FIBA Şampiyonlar Ligi,Basketbol,Kıta Turnuvası,Kıta Üstü,Niş,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,Doğrulanacak,Yıllık,Turnuva,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,pd,110,LOW,2,,,,evet,10,20,20,110,210,210,260,140,170,170,20,10,10,20,70,70,260,390,390,210,110,110,10,10,20,30,40,110,320,110,320,hayır,,,Geçerli,Ana Liste
fiba şampiyonlar ligi fikstür,FIBA Şampiyonlar Ligi,Basketbol,Kıta Turnuvası,Kıta Üstü,Niş,Erkek,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,Doğrulanacak,Yıllık,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,10,LOW,0,,,,evet,10,10,10,20,20,10,10,10,10,10,10,10,10,10,30,30,20,10,10,10,10,10,20,10,10,10,10,10,30,10,40,hayır,,,Geçerli,Ana Liste
eurobasket,EuroBasket,Basketbol,Kıta Turnuvası,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,Doğrulanacak,4 Yılda Bir,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,165000,LOW,5,0.6,0.12,4.33,evet,5400,4400,2900,2900,3600,4400,4400,6600,8100,14800,1830000,301000,8100,8100,4400,2900,6600,8100,2400,1900,8100,2400,1600,1600,2900,2400,2400,1600,2400,6600,2400,hayır,,,Geçerli,Ana Liste
eurobasket puan durumu,EuroBasket,Basketbol,Kıta Turnuvası,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,Doğrulanacak,4 Yılda Bir,Turnuva,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,pd,2400,LOW,3,0.42,,,evet,90,90,590,1900,2400,2900,3600,2400,1900,1000,9900,2400,30,170,260,1000,1600,1000,1300,1000,1000,260,10,10,20,10,210,720,1900,880,1300,hayır,,,Geçerli,Ana Liste
eurobasket fikstür,EuroBasket,Basketbol,Kıta Turnuvası,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,Doğrulanacak,4 Yılda Bir,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Head,fik,3600,LOW,7,,,,evet,50,20,30,50,70,110,140,210,260,480,40500,5400,70,110,50,50,70,90,40,40,70,20,10,10,10,10,10,20,50,140,40,hayır,,,Geçerli,Ana Liste
eurobasket canlı izle,EuroBasket,Basketbol,Kıta Turnuvası,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,Doğrulanacak,4 Yılda Bir,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,170,LOW,12,,,,evet,10,10,10,0,10,0,10,10,10,10,1600,320,10,10,10,0,10,10,10,10,20,10,0,10,10,10,10,10,10,10,10,hayır,,,Geçerli,Ana Liste
basketbol avrupa şampiyonası,EuroBasket,Basketbol,Kıta Turnuvası,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,Doğrulanacak,4 Yılda Bir,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,jen,22200,LOW,2,0.18,0.09,0.53,evet,1000,1000,720,480,480,720,260,590,1300,1000,246000,40500,880,1300,2900,480,390,720,320,260,880,390,140,260,590,590,480,260,210,260,170,hayır,,,Geçerli,Ana Liste
basketbol avrupa şampiyonası puan durumu,EuroBasket,Basketbol,Kıta Turnuvası,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,Doğrulanacak,4 Yılda Bir,Turnuva,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,pd,90,LOW,2,,,,evet,50,20,20,20,50,90,40,70,110,20,480,140,0,10,20,10,20,40,10,10,20,10,0,0,0,0,10,10,10,20,10,hayır,,,Geçerli,Ana Liste
basketbol avrupa şampiyonası fikstür,EuroBasket,Basketbol,Kıta Turnuvası,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,Doğrulanacak,4 Yılda Bir,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,390,LOW,3,,,,evet,30,20,10,20,30,30,10,40,70,40,2900,720,50,90,70,10,10,50,10,10,50,10,10,10,10,10,10,10,10,10,0,hayır,,,Geçerli,Ana Liste
basketbol avrupa şampiyonası canlı izle,EuroBasket,Basketbol,Kıta Turnuvası,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,Doğrulanacak,4 Yılda Bir,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,izle,20,,,,,,evet,0,0,0,0,0,10,0,0,0,0,260,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hayır,,,Geçerli,Ana Liste
fiba dünya kupası,FIBA Dünya Kupası,Basketbol,Dünya Turnuvası,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Global,Uluslararası,Türk Takımı Var,Doğrulanacak,4 Yılda Bir,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,jen,2900,LOW,3,0.23,0.04,0.36,evet,8100,2400,390,390,1600,1900,260,720,2900,320,14800,1300,390,880,590,170,170,210,210,140,320,210,170,880,1600,480,390,320,260,390,260,hayır,,,Geçerli,Ana Liste
fiba dünya kupası fikstür,FIBA Dünya Kupası,Basketbol,Dünya Turnuvası,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Global,Uluslararası,Türk Takımı Var,Doğrulanacak,4 Yılda Bir,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,30,LOW,3,,,,evet,90,20,10,10,10,20,10,20,70,10,90,10,10,10,0,0,10,10,0,0,0,0,10,10,10,10,0,0,10,10,10,hayır,,,Geçerli,Ana Liste
fiba dünya kupası canlı izle,FIBA Dünya Kupası,Basketbol,Dünya Turnuvası,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Global,Uluslararası,Türk Takımı Var,Doğrulanacak,4 Yılda Bir,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,izle,10,LOW,6,,,,evet,10,10,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,10,10,10,0,0,0,10,0,hayır,,,Geçerli,Ana Liste
12 dev adam,Basketbol A Milli Takımı,Basketbol,Milli,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Sürekli,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,jen,33100,LOW,0,,,,evet,18100,6600,2400,2400,8100,8100,1900,4400,12100,3600,368000,18100,1600,1900,2400,1900,2400,3600,1900,1900,4400,1600,1900,2900,9900,12100,1900,1600,1900,6600,2400,hayır,,,Geçerli,Ana Liste
12 dev adam fikstür,Basketbol A Milli Takımı,Basketbol,Milli,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Sürekli,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,170,LOW,2,0.51,,,evet,140,70,10,10,40,40,10,20,90,10,1000,390,10,10,10,10,20,30,10,10,50,10,10,10,10,20,10,10,10,70,10,hayır,,,Geçerli,Ana Liste
12 dev adam canlı izle,Basketbol A Milli Takımı,Basketbol,Milli,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Sürekli,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,izle,40,LOW,0,,,,evet,20,0,0,0,10,10,0,10,10,0,390,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hayır,,,Geçerli,Ana Liste
12 dev adam kadro,Basketbol A Milli Takımı,Basketbol,Milli,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Sürekli,Turnuva,Kadro,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,kad,5400,LOW,0,,,,evet,1600,880,480,480,1300,1300,480,590,1600,1000,60500,3600,720,1000,1300,720,1000,1300,590,720,1600,590,1000,1600,5400,3600,880,590,880,1900,590,hayır,,,Geçerli,Ana Liste
basketbol milli takım,Basketbol A Milli Takımı,Basketbol,Milli,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Sürekli,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,jen,90500,LOW,2,0.25,0.14,3.01,evet,33100,3600,590,590,18100,33100,1600,2900,12100,5400,823000,60500,1000,1900,1300,590,720,4400,260,320,12100,590,2400,880,2900,1900,480,210,480,8100,720,hayır,,,Geçerli,Ana Liste
basketbol milli takım fikstür,Basketbol A Milli Takımı,Basketbol,Milli,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Sürekli,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,260,LOW,5,,,,evet,210,70,20,20,70,90,30,40,140,30,1900,390,40,30,40,10,20,70,30,20,90,20,20,10,30,50,20,10,10,70,10,hayır,,,Geçerli,Ana Liste
basketbol milli takım canlı izle,Basketbol A Milli Takımı,Basketbol,Milli,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Sürekli,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,izle,320,LOW,7,,,,evet,50,10,0,10,10,10,0,10,30,10,3600,140,0,10,0,10,0,10,0,0,20,0,0,10,10,10,10,0,0,10,0,hayır,,,Geçerli,Ana Liste
basketbol milli takım kadro,Basketbol A Milli Takımı,Basketbol,Milli,Milli,Üst,Erkek,Milli Takım,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Sürekli,Turnuva,Kadro,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,kad,6600,LOW,1,,0.07,3.79,evet,2400,3600,1000,1000,2400,2400,480,1600,6600,3600,49500,8100,1900,1000,720,480,1300,3600,720,720,5400,590,1600,720,1000,1300,1000,480,880,1600,320,hayır,,,Geçerli,Ana Liste
wnba,WNBA,Basketbol,Lig,1. Seviye,Niş,Kadın,Kulüp,Takım Sporu,ABD,Yabancı,Türk Sporcu Var,Doğrulanacak,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,3600,LOW,4,0.34,0.15,0.88,evet,6600,8100,6600,1900,1300,1000,1300,1300,1000,2900,8100,8100,8100,8100,8100,1300,1000,1300,1600,1000,1000,4400,6600,4400,4400,8100,8100,1600,880,1000,880,hayır,,,Geçerli,Ana Liste
wnba puan durumu,WNBA,Basketbol,Lig,1. Seviye,Niş,Kadın,Kulüp,Takım Sporu,ABD,Yabancı,Türk Sporcu Var,Doğrulanacak,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,pd,210,LOW,1,0.1,,,evet,590,480,320,70,70,90,110,50,40,90,260,390,390,320,140,20,20,70,90,20,20,170,480,260,210,390,260,70,50,70,30,hayır,,,Geçerli,Ana Liste
wnba fikstür,WNBA,Basketbol,Lig,1. Seviye,Niş,Kadın,Kulüp,Takım Sporu,ABD,Yabancı,Türk Sporcu Var,Doğrulanacak,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Head,fik,40,LOW,4,0.11,,,evet,70,40,70,10,10,0,10,10,10,30,110,170,140,110,90,10,10,10,20,20,10,110,320,210,170,390,210,10,10,10,10,hayır,,,Geçerli,Ana Liste
kadınlar euroleague,Kadınlar EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Niş,Kadın,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Head,jen,3600,LOW,2,0.12,,,evet,110,210,720,18100,2900,5400,5400,3600,3600,5400,390,70,720,880,2900,12100,2400,3600,4400,2900,2900,3600,210,90,210,260,590,9900,2900,2900,4400,hayır,,,Geçerli,Ana Liste
kadınlar euroleague puan durumu,Kadınlar EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Niş,Kadın,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,pd,590,LOW,0,,,,evet,20,30,70,590,720,1300,1600,880,590,480,50,10,20,50,90,390,260,390,880,390,390,390,20,20,30,50,140,590,720,590,2400,hayır,,,Geçerli,Ana Liste
kadınlar euroleague fikstür,Kadınlar EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Niş,Kadın,Kulüp,Takım Sporu,Avrupa,Uluslararası,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,30,,,,,,evet,0,0,10,70,20,40,40,40,50,90,10,10,10,30,10,110,70,110,140,140,110,260,10,20,20,10,10,70,50,70,110,hayır,,,Geçerli,Ana Liste
kadınlar basketbol ligi,Kadınlar Basketbol Süper Ligi,Basketbol,Lig,1. Seviye,Niş,Kadın,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,jen,5400,LOW,2,0.17,,,evet,480,880,1600,4400,6600,8100,8100,8100,9900,9900,1900,720,480,1900,2900,9900,12100,9900,12100,12100,12100,9900,2400,880,480,1300,1900,8100,14800,9900,12100,hayır,,,Geçerli,Ana Liste
kadınlar basketbol ligi puan durumu,Kadınlar Basketbol Süper Ligi,Basketbol,Lig,1. Seviye,Niş,Kadın,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,pd,1300,LOW,2,,,,evet,50,90,390,1000,1900,2900,2900,2900,2400,1300,140,90,50,260,720,1600,3600,3600,3600,2400,1900,1300,170,90,70,170,720,1600,3600,2900,2900,hayır,,,Geçerli,Ana Liste
kadınlar basketbol ligi fikstür,Kadınlar Basketbol Süper Ligi,Basketbol,Lig,1. Seviye,Niş,Kadın,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,90,LOW,0,,,,evet,10,10,10,40,140,140,140,210,210,170,50,50,10,10,10,70,170,110,170,170,170,210,90,70,10,10,10,110,320,210,320,hayır,,,Geçerli,Ana Liste
ncaa,NCAA Basketbol,Basketbol,Kupa,Alt Seviye,Niş,Erkek,Kulüp,Takım Sporu,ABD,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,1900,LOW,4,0.4,0.24,1.54,evet,1300,1000,2400,2400,3600,1900,2400,2400,2400,1000,1600,1000,880,1300,1900,1900,2900,2400,2400,2400,2900,1000,1000,1300,1000,880,1000,2400,3600,2900,2900,hayır,,,Geçerli,Ana Liste
ncaa fikstür,NCAA Basketbol,Basketbol,Kupa,Alt Seviye,Niş,Erkek,Kulüp,Takım Sporu,ABD,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Head,fik,10,,,,,,evet,0,0,0,10,20,10,10,10,20,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,0,10,20,10,20,hayır,,,Geçerli,Ana Liste
ncaa canlı izle,NCAA Basketbol,Basketbol,Kupa,Alt Seviye,Niş,Erkek,Kulüp,Takım Sporu,ABD,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,10,,,,,,evet,0,0,10,10,20,40,30,20,50,10,10,0,10,0,0,10,20,30,20,30,50,10,10,10,10,10,10,10,40,50,50,hayır,,,Geçerli,Ana Liste
march madness,NCAA Basketbol,Basketbol,Kupa,Alt Seviye,Niş,Erkek,Kulüp,Takım Sporu,ABD,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,880,LOW,1,,,,evet,260,390,390,2400,6600,260,210,140,140,110,140,90,110,170,260,1600,3600,260,170,140,140,170,70,110,110,140,170,1600,3600,210,140,hayır,,,Geçerli,Ana Liste
march madness fikstür,NCAA Basketbol,Basketbol,Kupa,Alt Seviye,Niş,Erkek,Kulüp,Takım Sporu,ABD,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
march madness canlı izle,NCAA Basketbol,Basketbol,Kupa,Alt Seviye,Niş,Erkek,Kulüp,Takım Sporu,ABD,Yabancı,Yok,TV+ Yok,Yıllık,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
sultanlar ligi,Sultanlar Ligi,Voleybol,Lig,1. Seviye,Üst,Kadın,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,60500,LOW,1,0.06,0.03,0.27,evet,22200,22200,18100,110000,74000,90500,90500,90500,74000,74000,12100,8100,6600,18100,27100,74000,49500,49500,49500,49500,49500,49500,8100,9900,2900,5400,8100,33100,33100,22200,27100,hayır,,,Geçerli,Ana Liste
sultanlar ligi puan durumu,Sultanlar Ligi,Voleybol,Lig,1. Seviye,Üst,Kadın,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,pd,14800,LOW,0,,,,evet,1900,1900,2400,12100,18100,33100,40500,27100,22200,12100,2900,1600,1900,3600,5400,22200,27100,40500,33100,40500,40500,27100,1600,1600,880,3600,5400,9900,33100,18100,22200,hayır,,,Geçerli,Ana Liste
sultanlar ligi fikstür,Sultanlar Ligi,Voleybol,Lig,1. Seviye,Üst,Kadın,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,12100,LOW,0,,,,evet,590,590,480,6600,9900,22200,22200,22200,22200,33100,2900,1000,390,1000,880,9900,18100,22200,22200,14800,22200,27100,4400,1900,210,1000,1600,5400,12100,14800,14800,hayır,,,Geçerli,Ana Liste
sultanlar ligi maç sonuçları,Sultanlar Ligi,Voleybol,Lig,1. Seviye,Üst,Kadın,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Maç/Skor,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,mac,1000,LOW,0,,,,evet,170,260,70,1300,1300,2400,2400,1600,1600,1300,320,110,390,390,90,1000,1300,2400,1900,1000,1600,1600,40,110,30,480,390,480,1300,1000,1300,hayır,,,Geçerli,Ana Liste
sultanlar ligi canlı izle,Sultanlar Ligi,Voleybol,Lig,1. Seviye,Üst,Kadın,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,10,LOW,0,,,,evet,10,10,10,10,10,10,20,40,30,40,20,0,10,10,10,10,10,10,30,10,30,70,10,10,10,20,20,20,30,20,20,hayır,,,Geçerli,Ana Liste
sultanlar ligi hangi kanalda,Sultanlar Ligi,Voleybol,Lig,1. Seviye,Üst,Kadın,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Body,kan,110,LOW,8,0.26,,,evet,70,70,20,90,70,110,110,170,210,390,110,40,40,70,30,70,70,170,170,140,170,590,140,170,20,30,90,170,260,140,260,hayır,,,Geçerli,Ana Liste
efeler ligi,Efeler Ligi,Voleybol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,12100,LOW,0,0.96,,,evet,2900,4400,1600,22200,22200,22200,22200,18100,18100,9900,2400,1300,1300,2400,6600,27100,22200,18100,12100,9900,14800,12100,1600,1300,720,1600,2400,12100,9900,9900,9900,hayır,,,Geçerli,Ana Liste
efeler ligi puan durumu,Efeler Ligi,Voleybol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,pd,4400,LOW,0,,,,evet,720,720,720,4400,8100,9900,8100,8100,5400,1900,880,320,590,1000,1900,9900,14800,14800,9900,8100,9900,5400,390,390,260,1000,1600,3600,9900,9900,8100,hayır,,,Geçerli,Ana Liste
efeler ligi fikstür,Efeler Ligi,Voleybol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,1900,LOW,0,,,,evet,260,210,90,1300,2400,3600,2900,3600,3600,2900,480,260,140,210,170,2400,2900,3600,3600,2400,3600,3600,880,320,50,170,260,880,2400,2900,3600,hayır,,,Geçerli,Ana Liste
efeler ligi canlı izle,Efeler Ligi,Voleybol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,10,LOW,0,,,,evet,10,10,10,0,10,10,10,10,10,10,10,10,0,10,0,10,10,30,20,10,10,20,0,0,0,10,10,20,50,30,50,hayır,,,Geçerli,Ana Liste
efeler ligi hangi kanalda,Efeler Ligi,Voleybol,Lig,1. Seviye,Orta,Erkek,Kulüp,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,Doğrulanacak,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Body,kan,30,LOW,5,,,,evet,30,30,10,30,40,40,30,40,90,40,10,10,10,10,10,40,20,30,30,20,40,30,10,10,0,10,20,30,30,40,30,hayır,,,Geçerli,Ana Liste
filenin sultanları,Kadın Voleybol Milli Takımı,Voleybol,Milli,Milli,Global Elit,Kadın,Milli Takım,Takım Sporu,Türkiye,Yerli,Türk Takımı Var,TV+ Var,Sürekli,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Head,jen,110000,LOW,1,0.3,0.05,0.4,evet,550000,201000,22200,8100,8100,8100,12100,6600,22200,12100,368000,110000,246000,301000,33100,27100,14800,9900,8100,14800,8100,9900,9900,450000,135000,301000,201000,14800,14800,14800,18100,hayır,,,Geçerli,Ana Liste
