keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,kurum_sorgusu
napoli lazio maçı,Serie A,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İtalya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,Türkçe,Body,h2h_mac,140,LOW,2,,,,evet,,10,10,1600,10,10,90,10,10,10,10,10,10,hayır
napoli lazio canlı izle,Serie A,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İtalya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Maç,Jenerik,Türkçe,Body,h2h_izle,10,,,,,,evet,,0,0,30,0,0,30,0,0,0,0,10,0,hayır
napoli lazio hangi kanalda,Serie A,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İtalya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Maç,Jenerik,İngilizce,Body,h2h_kanal,10,,,,,,evet,,0,0,50,10,10,90,0,0,0,0,0,10,hayır
napoli lazio saat kaçta,Serie A,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İtalya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Maç,Jenerik,Türkçe,Body,h2h_saat,,,,,,,hayir,,,,,,,,,,,,,,hayır
napoli lazio istatistikleri,Serie A,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İtalya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,İstatistik,Bilgi,Maç,Jenerik,İngilizce,Body,h2h_ist,590,LOW,0,,,,evet,,10,110,6600,10,10,70,10,10,0,10,10,10,hayır
roma lazio,Serie A,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İtalya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,İngilizce,Head,h2h,8100,LOW,1,0.37,,,evet,,880,27100,720,720,880,1300,720,720,2400,60500,880,1000,hayır
roma lazio maçı,Serie A,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İtalya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,Türkçe,Body,h2h_mac,30,LOW,0,,,,evet,,10,170,10,10,10,30,20,10,20,70,20,40,hayır
roma lazio canlı izle,Serie A,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İtalya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Maç,Jenerik,Türkçe,Body,h2h_izle,10,,,,,,evet,,0,50,0,0,10,0,10,10,10,10,10,10,hayır
roma lazio hangi kanalda,Serie A,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İtalya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Maç,Jenerik,İngilizce,Body,h2h_kanal,10,,,,,,evet,,0,50,0,0,0,10,10,10,0,30,0,10,hayır
roma lazio saat kaçta,Serie A,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İtalya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Maç,Jenerik,Türkçe,Body,h2h_saat,,,,,,,hayir,,,,,,,,,,,,,,hayır
roma lazio istatistikleri,Serie A,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İtalya,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,İstatistik,Bilgi,Maç,Jenerik,İngilizce,Body,h2h_ist,,,,,,,hayir,,,,,,,,,,,,,,hayır
manchester united manchester city,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,İngilizce,Body,h2h,40500,LOW,1,0.54,0.07,0.22,evet,,880,2900,3600,4400,8100,450000,1600,1300,1000,9900,1300,1000,hayır
manchester united manchester city maçı,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,Türkçe,Long-tail,h2h_mac,390,LOW,1,,,,evet,,40,210,140,140,140,3600,50,50,40,390,40,70,hayır
manchester united manchester city canlı izle,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Maç,Jenerik,Türkçe,Long-tail,h2h_izle,40,,,,,,evet,,10,10,20,10,30,390,10,10,0,40,10,10,hayır
manchester united manchester city hangi kanalda,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Maç,Jenerik,İngilizce,Long-tail,h2h_kanal,260,LOW,2,,,,evet,,50,70,40,70,70,2400,10,10,10,390,0,0,hayır
manchester united manchester city saat kaçta,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Maç,Jenerik,Türkçe,Long-tail,h2h_saat,10,,,,,,evet,,0,0,0,0,0,50,10,0,0,10,0,0,hayır
manchester united manchester city istatistikleri,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Maç,Jenerik,İngilizce,Long-tail,h2h_ist,2400,LOW,0,,,,evet,,30,50,70,140,390,33100,50,40,20,320,30,30,hayır
manchester united liverpool,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,İngilizce,Body,h2h,40500,LOW,0,,,,evet,,1600,450000,9900,3600,2400,1000,1000,1300,9900,1600,1000,1600,hayır
manchester united liverpool maçı,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,Türkçe,Body,h2h_mac,210,LOW,0,,,,evet,,20,1900,140,70,70,50,50,70,320,30,30,40,hayır
manchester united liverpool canlı izle,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Maç,Jenerik,Türkçe,Long-tail,h2h_izle,40,,,,,,evet,,10,260,10,10,10,30,30,40,70,50,40,10,hayır
manchester united liverpool hangi kanalda,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Maç,Jenerik,İngilizce,Long-tail,h2h_kanal,140,,,,,,evet,,0,1600,20,10,10,0,0,10,140,10,10,10,hayır
manchester united liverpool saat kaçta,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Maç,Jenerik,Türkçe,Long-tail,h2h_saat,,,,,,,hayir,,,,,,,,,,,,,,hayır
manchester united liverpool istatistikleri,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Maç,Jenerik,İngilizce,Body,h2h_ist,1600,LOW,0,,,,evet,,20,18100,1300,90,90,40,20,40,390,30,20,10,hayır
manchester united arsenal,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,İngilizce,Body,h2h,33100,LOW,0,,,,evet,,480,1900,1000,1600,1600,6600,1000,1600,1600,8100,368000,2900,hayır
manchester united arsenal maçı,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,Türkçe,Body,h2h_mac,480,LOW,1,,,,evet,,170,590,320,480,260,480,140,170,140,390,2900,320,hayır
manchester united arsenal canlı izle,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Maç,Jenerik,Türkçe,Long-tail,h2h_izle,20,,,,,,evet,,0,10,10,10,10,10,10,0,0,0,170,0,hayır
manchester united arsenal hangi kanalda,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Maç,Jenerik,İngilizce,Long-tail,h2h_kanal,210,,,,,,evet,,0,10,10,10,10,90,10,10,10,10,2400,10,hayır
manchester united arsenal saat kaçta,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Maç,Jenerik,Türkçe,Long-tail,h2h_saat,10,,,,,,evet,,0,0,10,10,0,10,0,10,10,10,10,0,hayır
manchester united arsenal istatistikleri,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Maç,Jenerik,İngilizce,Body,h2h_ist,2900,LOW,0,,,,evet,,0,20,10,30,30,390,50,90,90,590,33100,70,hayır
manchester united chelsea,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,İngilizce,Body,h2h,60500,LOW,1,0.33,0.08,0.29,evet,,1000,5400,246000,2900,2400,2400,2400,2900,9900,450000,2400,2400,hayır
manchester united chelsea maçı,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,Türkçe,Body,h2h_mac,170,LOW,2,,,,evet,,10,30,110,30,10,20,20,20,20,1900,10,20,hayır
manchester united chelsea canlı izle,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Maç,Jenerik,Türkçe,Long-tail,h2h_izle,30,,,,,,evet,,0,10,30,0,10,10,0,10,0,260,10,10,hayır
manchester united chelsea hangi kanalda,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Maç,Jenerik,İngilizce,Long-tail,h2h_kanal,140,,,,,,evet,,10,0,70,0,10,10,0,10,10,1600,10,10,hayır
manchester united chelsea saat kaçta,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Maç,Jenerik,Türkçe,Long-tail,h2h_saat,10,,,,,,evet,,0,0,0,0,0,0,0,0,0,10,0,0,hayır
manchester united chelsea istatistikleri,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Maç,Jenerik,İngilizce,Body,h2h_ist,2400,LOW,0,,,,evet,,10,10,260,20,10,40,70,90,390,27100,70,20,hayır
manchester united tottenham,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,İngilizce,Body,h2h,27100,LOW,1,,,,evet,,260,1300,1000,2900,301000,1900,480,2900,480,590,1000,880,hayır
manchester united tottenham maçı,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,Türkçe,Body,h2h_mac,140,LOW,0,,,,evet,,10,20,10,10,1300,20,40,70,20,10,30,30,hayır
manchester united tottenham canlı izle,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Maç,Jenerik,Türkçe,Long-tail,h2h_izle,30,,,,,,evet,,0,0,0,10,260,0,0,30,0,0,10,0,hayır
manchester united tottenham hangi kanalda,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Maç,Jenerik,İngilizce,Long-tail,h2h_kanal,20,,,,,,evet,,0,10,10,10,260,10,10,30,10,0,10,0,hayır
manchester united tottenham saat kaçta,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Maç,Jenerik,Türkçe,Long-tail,h2h_saat,,,,,,,hayir,,,,,,,,,,,,,,hayır
manchester united tottenham istatistikleri,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Maç,Jenerik,İngilizce,Body,h2h_ist,1300,LOW,0,,,,evet,,10,20,40,170,18100,90,20,70,10,10,20,10,hayır
manchester city liverpool,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,İngilizce,Body,h2h,135000,LOW,1,,0.09,0.44,evet,,2900,9900,823000,33100,22200,6600,5400,673000,4400,4400,1900,1900,hayır
manchester city liverpool maçı,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,Türkçe,Body,h2h_mac,880,LOW,1,,,,evet,,110,320,5400,390,2400,110,90,2400,140,90,40,70,hayır
manchester city liverpool canlı izle,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Maç,Jenerik,Türkçe,Long-tail,h2h_izle,140,LOW,14,,,,evet,,0,10,880,10,170,10,10,480,10,10,10,10,hayır
manchester city liverpool hangi kanalda,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Maç,Jenerik,İngilizce,Long-tail,h2h_kanal,720,LOW,4,,,,evet,,10,20,6600,90,260,10,10,1300,10,10,10,10,hayır
manchester city liverpool saat kaçta,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Maç,Jenerik,Türkçe,Long-tail,h2h_saat,10,,,,,,evet,,10,10,70,10,10,0,10,10,0,0,0,0,hayır
manchester city liverpool istatistikleri,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Maç,Jenerik,İngilizce,Body,h2h_ist,4400,LOW,0,,,,evet,,140,140,27100,1000,590,170,210,33100,140,170,110,50,hayır
manchester city arsenal,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,İngilizce,Body,h2h,90500,LOW,1,,0.13,0.52,evet,,2400,22200,1000000,22200,6600,4400,2400,1600,1000,8100,1000,590,hayır
manchester city arsenal maçı,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,Türkçe,Body,h2h_mac,880,LOW,1,,,,evet,,70,320,8100,1000,110,110,90,50,50,320,30,40,hayır
manchester city arsenal canlı izle,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Maç,Jenerik,Türkçe,Long-tail,h2h_izle,140,LOW,7,,,,evet,,0,10,1300,90,10,10,10,10,10,170,10,10,hayır
manchester city arsenal hangi kanalda,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Maç,Jenerik,İngilizce,Long-tail,h2h_kanal,390,LOW,0,,,,evet,,10,10,4400,390,10,10,0,10,10,210,10,10,hayır
manchester city arsenal saat kaçta,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Maç,Jenerik,Türkçe,Long-tail,h2h_saat,,,,,,,hayir,,,,,,,,,,,,,,hayır
manchester city arsenal istatistikleri,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Maç,Jenerik,İngilizce,Body,h2h_ist,5400,LOW,0,,,,evet,,30,590,60500,720,210,170,90,30,30,210,20,20,hayır
manchester city chelsea,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,İngilizce,Body,h2h,33100,LOW,1,,,,evet,,720,6600,8100,1900,1900,368000,6600,1900,1600,1900,1900,2400,hayır
manchester city chelsea maçı,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,Türkçe,Body,h2h_mac,390,LOW,5,,,,evet,,30,390,260,40,50,4400,50,20,10,40,30,50,hayır
manchester city chelsea canlı izle,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Maç,Jenerik,Türkçe,Long-tail,h2h_izle,70,,,,,,evet,,10,170,170,10,10,480,10,0,10,10,10,10,hayır
manchester city chelsea hangi kanalda,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Maç,Jenerik,İngilizce,Long-tail,h2h_kanal,260,LOW,0,,,,evet,,0,320,90,10,10,2400,10,10,10,30,10,10,hayır
manchester city chelsea saat kaçta,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Maç,Jenerik,Türkçe,Long-tail,h2h_saat,10,,,,,,evet,,0,10,40,0,0,0,0,0,0,0,0,0,hayır
manchester city chelsea istatistikleri,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Maç,Jenerik,İngilizce,Body,h2h_ist,2400,LOW,0,,,,evet,,10,170,480,110,90,27100,880,50,40,90,90,70,hayır
manchester city tottenham,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,İngilizce,Body,h2h,33100,LOW,1,,,,evet,,260,720,880,1000,5400,2400,880,1300,1900,14800,368000,1000,hayır
manchester city tottenham maçı,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,Türkçe,Body,h2h_mac,90,LOW,0,,,,evet,,10,20,20,30,260,30,20,10,20,20,590,20,hayır
manchester city tottenham canlı izle,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Maç,Jenerik,Türkçe,Long-tail,h2h_izle,140,LOW,0,,,,evet,,10,10,30,10,260,10,10,10,10,30,1300,10,hayır
manchester city tottenham hangi kanalda,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Maç,Jenerik,İngilizce,Long-tail,h2h_kanal,210,,,,,,evet,,0,10,10,10,720,50,20,10,10,10,1900,10,hayır
manchester city tottenham saat kaçta,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Maç,Jenerik,Türkçe,Long-tail,h2h_saat,10,,,,,,evet,,0,0,0,0,10,0,0,0,0,0,40,0,hayır
manchester city tottenham istatistikleri,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Maç,Jenerik,İngilizce,Body,h2h_ist,2400,LOW,0,,,,evet,,10,20,10,20,260,110,30,90,90,720,27100,40,hayır
liverpool arsenal,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,İngilizce,Head,h2h,33100,LOW,1,,,,evet,,720,2400,1600,3600,1900,12100,2900,4400,4400,74000,301000,3600,hayır
liverpool arsenal maçı,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,Türkçe,Body,h2h_mac,1600,LOW,0,,,,evet,,210,590,390,880,590,1600,320,480,590,2900,9900,390,hayır
liverpool arsenal canlı izle,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Maç,Jenerik,Türkçe,Body,h2h_izle,110,,,,,,evet,,0,10,10,10,10,210,10,10,10,20,1000,10,hayır
liverpool arsenal hangi kanalda,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kanal/Yayın,İzleme,Maç,Jenerik,İngilizce,Body,h2h_kanal,320,,,,,,evet,,0,10,10,10,20,480,10,10,10,260,2900,0,hayır
liverpool arsenal saat kaçta,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takvim/Saat,Bilgi,Maç,Jenerik,Türkçe,Body,h2h_saat,,,,,,,hayir,,,,,,,,,,,,,,hayır
liverpool arsenal istatistikleri,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,İstatistik,Bilgi,Maç,Jenerik,İngilizce,Body,h2h_ist,2900,LOW,0,,,,evet,,20,30,20,70,40,590,110,210,320,4400,33100,70,hayır
liverpool chelsea,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,İngilizce,Head,h2h,33100,LOW,1,,,,evet,,1900,368000,2400,2400,1600,880,590,720,14800,1900,1300,1900,hayır
liverpool chelsea maçı,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Rakip Eşleşmesi,Bilgi,Maç,Jenerik,Türkçe,Body,h2h_mac,880,LOW,0,,,,evet,,140,5400,390,590,260,210,140,170,2400,140,90,320,hayır
liverpool chelsea canlı izle,Premier Lig,Futbol,Lig,1. Seviye,Global Elit,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,Maç,Jenerik,Türkçe,Body,h2h_izle,110,LOW,0,,,,evet,,10,1000,10,10,10,10,0,10,110,10,10,10,hayır
