keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,intent_kaynak,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,kulup,oyuncu_ana_ad,milli_kaynak,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01
evin demirhan yavuz,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Jenerik,,evin demirhan yavuz,,140,LOW,0,,,,evet,140,210,40,210,30,30,10,30,40,70,1000,30,70,10,30,110,20,20,30,40,30,20,20,1600,260,140,90,70,90,590,90
evin demirhan yavuz kimdir,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,evin demirhan yavuz,,10,LOW,0,,,,evet,30,30,10,20,0,10,10,10,10,10,20,10,0,0,0,10,10,0,0,0,10,10,10,50,30,20,10,10,10,40,10
evin demirhan yavuz hangi takımda,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,evin demirhan yavuz,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evin demirhan yavuz istatistik,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,evin demirhan yavuz,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buse tosun çavuşoğlu,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Jenerik,,buse tosun çavuşoğlu,,880,LOW,0,,,,evet,480,480,1000,2400,880,1000,390,480,720,720,1900,390,590,590,720,1300,1000,590,720,6600,480,1300,720,60500,1300,720,720,590,590,2900,590
buse tosun çavuşoğlu kimdir,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,buse tosun çavuşoğlu,,20,LOW,1,,,,evet,10,10,50,40,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,170,10,40,10,590,70,50,10,40,70,480,90
buse tosun çavuşoğlu hangi takımda,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,buse tosun çavuşoğlu,,10,,,,,,evet,0,0,10,10,0,10,0,0,0,0,10,0,10,10,10,10,10,10,10,20,10,10,10,260,0,0,0,0,0,0,0
buse tosun çavuşoğlu istatistik,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,buse tosun çavuşoğlu,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elvira süleyman kamaloğlu,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Jenerik,,elvira süleyman kamaloğlu,,170,LOW,0,,,,evet,10,20,30,1600,10,20,20,70,110,10,210,10,10,10,10,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elvira süleyman kamaloğlu kimdir,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,elvira süleyman kamaloğlu,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elvira süleyman kamaloğlu hangi takımda,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,elvira süleyman kamaloğlu,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elvira süleyman kamaloğlu istatistik,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,elvira süleyman kamaloğlu,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuba demir,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,tuba demir,,320,LOW,4,0.04,0.03,0.03,evet,260,390,260,590,390,260,260,320,260,320,320,320,260,260,390,1000,720,210,260,320,210,210,210,320,390,260,260,320,260,320,320
tuba demir kimdir,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,tuba demir,,10,LOW,0,,,,evet,10,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuba demir hangi takımda,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,tuba demir,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuba demir istatistik,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,tuba demir,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beyza nur akkuş,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Jenerik,,beyza nur akkuş,,90,LOW,0,,,,evet,170,90,70,320,30,40,40,30,30,20,30,90,260,20,10,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beyza nur akkuş kimdir,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,beyza nur akkuş,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beyza nur akkuş hangi takımda,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,beyza nur akkuş,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beyza nur akkuş istatistik,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,beyza nur akkuş,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nesrin baş,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,nesrin baş,,2900,LOW,0,,,,evet,480,880,720,8100,590,2400,390,480,1000,8100,9900,260,170,260,260,880,720,390,260,210,260,480,390,14800,5400,880,1900,720,1600,12100,260
nesrin baş kimdir,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,nesrin baş,,90,LOW,0,,,,evet,10,20,40,320,20,50,10,20,40,210,260,10,10,10,10,50,40,10,10,10,10,30,20,140,390,40,70,20,90,480,10
nesrin baş hangi takımda,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,nesrin baş,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nesrin baş istatistik,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,nesrin baş,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yunus emre başar,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Jenerik,,yunus emre başar,,170,LOW,0,,,,evet,110,140,110,210,260,210,260,260,170,140,170,90,90,90,90,90,140,90,90,70,90,70,70,210,110,110,110,110,170,1900,170
yunus emre başar kimdir,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,yunus emre başar,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yunus emre başar hangi takımda,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,yunus emre başar,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yunus emre başar istatistik,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,yunus emre başar,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muhammet karavuş,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,muhammet karavuş,,50,LOW,0,,,,evet,90,30,70,30,50,50,70,90,50,70,40,70,70,50,50,50,30,50,170,70,40,70,90,140,110,140,210,140,210,1300,140
muhammet karavuş kimdir,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,muhammet karavuş,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muhammet karavuş hangi takımda,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,muhammet karavuş,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muhammet karavuş istatistik,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,muhammet karavuş,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahmet duman kimdir,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,ahmet duman,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahmet duman hangi takımda,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,ahmet duman,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahmet duman istatistik,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,ahmet duman,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zehra demirhan,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,zehra demirhan,,90,LOW,29,0.16,0.03,0.28,evet,140,90,90,90,110,110,70,50,110,110,90,50,40,70,90,70,40,90,70,70,90,90,70,70,140,70,110,110,110,70,70
zehra demirhan kimdir,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,zehra demirhan,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zehra demirhan hangi takımda,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,zehra demirhan,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zehra demirhan istatistik,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,zehra demirhan,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeynep yetgil kamal,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Jenerik,,zeynep yetgil kamal,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeynep yetgil kamal kimdir,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,zeynep yetgil kamal,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeynep yetgil kamal hangi takımda,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,zeynep yetgil kamal,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeynep yetgil kamal istatistik,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,zeynep yetgil kamal,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ismail küçüksolak,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,ismail küçüksolak,,10,LOW,0,,,,evet,10,10,20,10,20,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,20
ismail küçüksolak kimdir,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,ismail küçüksolak,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ismail küçüksolak hangi takımda,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,ismail küçüksolak,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ismail küçüksolak istatistik,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,ismail küçüksolak,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebru dağbaşı,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,ebru dağbaşı,,20,LOW,0,,,,evet,30,10,20,20,10,20,20,10,10,20,10,10,20,20,20,30,90,70,20,10,20,10,10,20,10,10,20,10,10,70,20
ebru dağbaşı kimdir,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,ebru dağbaşı,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebru dağbaşı hangi takımda,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,ebru dağbaşı,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebru dağbaşı istatistik,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,ebru dağbaşı,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kadriye aksoy koçak,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Jenerik,,kadriye aksoy koçak,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kadriye aksoy koçak kimdir,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,kadriye aksoy koçak,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kadriye aksoy koçak hangi takımda,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,kadriye aksoy koçak,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kadriye aksoy koçak istatistik,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,kadriye aksoy koçak,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
murat fırat kimdir,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,murat fırat,,10,LOW,0,,,,evet,20,20,20,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20
murat fırat hangi takımda,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,murat fırat,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
murat fırat istatistik,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,murat fırat,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doğan kaya kimdir,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,doğan kaya,,30,LOW,0,,,,evet,30,30,20,40,20,30,20,20,40,20,50,90,30,30,30,10,50,90,20,20,90,20,0,0,0,0,0,0,0,0,0
doğan kaya hangi takımda,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,doğan kaya,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doğan kaya istatistik,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,İstatistik,Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,doğan kaya,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yasin yeşil,Güreş,Dövüş Sporları,Lig,1. Seviye,Erkek,Kulüp,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,yasin yeşil,,720,LOW,0,,,,evet,110,110,140,110,90,140,140,140,170,390,6600,1900,90,40,50,50,70,40,70,70,50,50,50,50,90,110,260,50,90,110,70
