keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,intent_kaynak,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,katman,competition,competition_index,cpc,low_bid,high_bid,kurum_sorgusu,oyuncu_dogrulama,faset_notu,mantik_denetim,guncellik,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01
rennes puan durumu,Ligue 1,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Fransa,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Skor & Sonuç,Bilgi,Takım,Jenerik,İngilizce,Body,Puan Durumu,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,590,LOW,0,,,,evet,480,170,880,880,590,1600,880,390,260,140,140,170,90,50,140,260,320,390,320,170,70,50,50,20,30,10,40,90,260,390,110
rennes kadrosu,Ligue 1,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Fransa,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Head,Kadro,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,170,LOW,0,,,,evet,170,70,170,110,90,260,320,110,140,140,140,320,170,210,170,110,170,260,480,170,110,140,170,390,880,480,210,210,260,590,1600
rennes canlı izle,Ligue 1,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Fransa,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,İzleme,Takım,Jenerik,Türkçe,Body,Canlı İzle,Ana Liste,LOW,26,,,,hayır,,,Geçerli,,10,LOW,26,,,,evet,10,0,10,10,0,10,20,0,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20
rennes transfer,Ligue 1,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Fransa,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Transfer,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Head,Transfer,Ana Liste,LOW,5,,,,hayır,,,Geçerli,,10,LOW,5,,,,evet,10,10,10,10,10,20,30,10,10,10,20,30,30,20,10,10,10,30,30,10,10,10,40,90,70,10,10,10,10,30,110
lens,Ligue 1,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Fransa,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Ana Liste,MEDIUM,62,0.44,0.17,0.44,hayır,,,Geçerli,,90500,MEDIUM,62,0.44,0.17,0.44,evet,90500,90500,110000,110000,110000,110000,90500,90500,90500,90500,90500,90500,90500,74000,90500,90500,90500,90500,90500,90500,74000,74000,74000,90500,74000,74000,90500,74000,90500,90500,74000
lens maçları,Ligue 1,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Fransa,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Head,Takım Maç Sorgusu,Ana Liste,LOW,2,,,,hayır,,,Geçerli,,50,LOW,2,,,,evet,10,20,110,70,70,90,90,40,30,10,70,10,10,10,10,30,30,90,50,10,20,20,20,20,10,0,10,10,10,70,50
lens fikstür,Ligue 1,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Fransa,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Fikstür,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Head,Fikstür,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,40,LOW,0,,,,evet,10,10,90,110,90,70,50,40,10,10,10,10,10,10,10,30,10,90,40,0,0,0,0,0,0,0,0,0,0,0,0
lens puan durumu,Ligue 1,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Fransa,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Puan Durumu,Skor & Sonuç,Bilgi,Takım,Jenerik,İngilizce,Body,Puan Durumu,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,1300,LOW,0,,,,evet,140,260,3600,2900,1900,1900,1600,880,390,320,140,90,40,40,170,720,320,720,480,70,90,90,70,90,10,10,90,140,170,590,320
lens kadrosu,Ligue 1,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Fransa,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Kadro,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Head,Kadro,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,210,LOW,0,,,,evet,110,210,320,260,210,390,320,260,140,90,110,110,90,70,90,90,110,590,590,210,70,90,140,140,110,90,70,90,140,210,260
lens canlı izle,Ligue 1,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Fransa,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Canlı İzle,İzleme,İzleme,Takım,Jenerik,Türkçe,Body,Canlı İzle,Ana Liste,,,,,,hayır,,,Geçerli,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lens transfer,Ligue 1,Futbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Fransa,Yabancı,Yok,TV+ Yok,Yıllık,Sürekli Lig,Transfer,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Head,Transfer,Ana Liste,LOW,0,,,,hayır,,,Geçerli,,20,LOW,0,,,,evet,20,20,10,10,10,50,30,30,20,10,10,20,20,10,10,10,20,90,70,20,10,10,10,20,20,10,10,10,10,10,10
fenerbahçe beko,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,Türkçe,Head,Takım Jenerik,Ana Liste,LOW,1,0.5,0.09,0.56,hayır,,lig → kıta turnuvası,Geçerli,,1220000,LOW,1,0.5,0.09,0.56,evet,165000,1500000,1830000,1000000,1220000,1830000,1830000,1220000,1000000,1500000,550000,135000,201000,2240000,4090000,1220000,1000000,1220000,1000000,823000,1220000,1000000,246000,90500,135000,1000000,2740000,1220000,1220000,823000,1220000
fenerbahçe beko maçları,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Body,Takım Maç Sorgusu,Ana Liste,LOW,5,0.3,0.07,0.28,hayır,,lig → kıta turnuvası,Geçerli,,33100,LOW,5,0.3,0.07,0.28,evet,1600,40500,60500,33100,40500,60500,49500,33100,33100,40500,8100,3600,1300,40500,74000,40500,33100,33100,33100,27100,40500,27100,5400,2900,1300,18100,49500,27100,33100,22200,33100
fenerbahçe beko fikstür,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Fikstür,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Body,Fikstür,Ana Liste,LOW,2,,,,hayır,,lig → kıta turnuvası,Geçerli,,5400,LOW,2,,,,evet,390,2900,4400,5400,6600,8100,8100,6600,5400,6600,2400,1300,320,3600,6600,5400,6600,5400,6600,5400,8100,6600,1900,1900,590,1300,6600,6600,8100,5400,8100
fenerbahçe beko puan durumu,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Puan Durumu,Skor & Sonuç,Bilgi,Takım,Jenerik,Türkçe,Body,Puan Durumu,Ana Liste,LOW,0,,,,hayır,,lig → kıta turnuvası,Geçerli,,1300,LOW,0,,,,evet,110,320,1300,1600,1900,4400,2900,1300,1300,590,110,210,90,590,1600,880,1300,3600,1300,880,880,480,70,210,260,480,1000,880,2400,2400,1600
fenerbahçe beko kadrosu,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Kadro,Bilgi,Bilgi,Takım,Jenerik,Türkçe,Body,Kadro,Ana Liste,LOW,0,0.48,0.22,0.53,hayır,,lig → kıta turnuvası,Geçerli,,2900,LOW,0,0.48,0.22,0.53,evet,2900,2400,1600,1000,1600,2900,2900,1600,1600,3600,9900,1900,1300,3600,9900,1900,1600,2400,1900,1900,3600,4400,5400,3600,2400,2400,3600,1300,1600,1300,1900
fenerbahçe beko canlı izle,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Canlı İzle,İzleme,İzleme,Takım,Jenerik,Türkçe,Body,Canlı İzle,Ana Liste,LOW,4,,,,hayır,,lig → kıta turnuvası,Geçerli,,2900,LOW,4,,,,evet,20,2900,5400,3600,2900,8100,3600,2400,1900,1900,390,70,90,3600,12100,1000,590,880,880,390,880,880,210,10,10,1000,4400,1300,1300,720,1600
fenerbahçe beko transfer,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Transfer,Bilgi,Bilgi,Takım,Jenerik,Türkçe,Body,Transfer,Ana Liste,LOW,0,0.08,0.15,2.65,hayır,,lig → kıta turnuvası,Geçerli,,14800,LOW,0,0.08,0.15,2.65,evet,33100,27100,6600,3600,1300,5400,40500,5400,5400,8100,22200,27100,49500,27100,9900,3600,1600,6600,33100,18100,14800,22200,18100,27100,40500,49500,9900,3600,1600,3600,8100
anadolu efes,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Ana Liste,LOW,2,0.58,0.18,1.22,hayır,,lig → kıta turnuvası,Geçerli,,165000,LOW,2,0.58,0.18,1.22,evet,49500,165000,60500,110000,135000,165000,201000,246000,246000,301000,110000,33100,49500,368000,550000,550000,246000,165000,246000,246000,246000,246000,74000,27100,40500,201000,135000,246000,201000,201000,368000
anadolu efes maçları,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Body,Takım Maç Sorgusu,Ana Liste,LOW,16,0.18,0.05,0.21,hayır,,lig → kıta turnuvası,Geçerli,,5400,LOW,16,0.18,0.05,0.21,evet,480,1600,1900,4400,6600,6600,8100,8100,12100,9900,4400,720,390,3600,8100,12100,8100,5400,8100,9900,9900,9900,1900,880,390,3600,3600,8100,8100,6600,14800
anadolu efes fikstür,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Fikstür,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Body,Fikstür,Ana Liste,LOW,5,,,,hayır,,lig → kıta turnuvası,Geçerli,,880,LOW,5,,,,evet,90,170,320,720,880,1000,1300,1300,1300,1900,1000,320,140,480,1000,1600,1600,1000,1600,1600,1600,1900,720,390,110,390,1300,1900,1900,1600,2400
anadolu efes puan durumu,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Puan Durumu,Skor & Sonuç,Bilgi,Takım,Jenerik,İngilizce,Body,Puan Durumu,Ana Liste,LOW,0,,,,hayır,,lig → kıta turnuvası,Geçerli,,90,LOW,0,,,,evet,20,20,40,70,90,260,110,110,110,70,20,40,20,40,70,90,110,140,70,110,110,90,20,50,40,50,110,260,260,390,210
anadolu efes kadrosu,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Kadro,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Body,Kadro,Ana Liste,LOW,1,,,,hayır,,lig → kıta turnuvası,Geçerli,,1000,LOW,1,,,,evet,720,720,480,480,590,720,1000,1000,1300,1900,4400,720,720,1000,1300,1000,880,880,1000,1300,1600,1900,2400,1000,880,1300,1000,1000,1300,1300,1900
anadolu efes canlı izle,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Canlı İzle,İzleme,İzleme,Takım,Jenerik,Türkçe,Body,Canlı İzle,Ana Liste,LOW,14,,,,hayır,,lig → kıta turnuvası,Geçerli,,110,LOW,14,,,,evet,10,90,20,50,50,110,140,170,260,390,140,10,10,320,590,480,210,90,110,140,260,260,70,10,10,140,90,390,260,260,480
anadolu efes transfer,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Transfer,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Body,Transfer,Ana Liste,LOW,1,2.47,0.4,4,hayır,,lig → kıta turnuvası,Geçerli,,1600,LOW,1,2.47,0.4,4,evet,6600,2900,720,320,110,170,590,880,720,880,1900,2400,12100,4400,1000,210,70,170,880,260,210,390,1300,2400,5400,8100,2900,880,140,320,720
beşiktaş basketbol,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,Türkçe,Head,Takım Jenerik,Ana Liste,LOW,2,0.37,0.11,0.67,hayır,,lig → kıta turnuvası,Geçerli,,110000,LOW,2,0.37,0.11,0.67,evet,18100,246000,110000,135000,74000,165000,165000,165000,110000,90500,60500,12100,22200,450000,74000,27100,40500,74000,40500,40500,40500,40500,12100,5400,5400,14800,33100,74000,110000,49500,74000
beşiktaş basketbol maçları,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Body,Takım Maç Sorgusu,Ana Liste,LOW,5,0.16,0.05,0.22,hayır,,lig → kıta turnuvası,Geçerli,,33100,LOW,5,0.16,0.05,0.22,evet,1600,135000,40500,60500,27100,40500,40500,40500,22200,18100,9900,1300,1000,90500,12100,4400,6600,18100,9900,9900,9900,12100,2400,590,480,2400,6600,22200,40500,9900,12100
beşiktaş basketbol fikstür,Basketbol Süper Ligi,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Fikstür,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Body,Fikstür,Ana Liste,LOW,4,,0.11,0.23,hayır,,Maç denetimi: organizasyon EuroLeague yerine Basketbol Süper Ligi,Geçerli,,1000,LOW,4,,0.11,0.23,evet,140,1000,1000,1300,1000,1000,1600,1900,1300,880,390,260,70,880,720,720,390,720,720,480,590,590,260,210,30,50,390,720,1000,720,880
beşiktaş basketbol puan durumu,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Puan Durumu,Skor & Sonuç,Bilgi,Takım,Jenerik,Türkçe,Body,Puan Durumu,Ana Liste,LOW,0,,,,hayır,,lig → kıta turnuvası,Geçerli,,880,LOW,0,,,,evet,90,320,880,1000,880,2400,1300,1600,880,390,110,140,40,590,720,390,320,1300,320,320,170,210,40,90,90,70,320,480,880,1300,880
beşiktaş basketbol kadrosu,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Kadro,Bilgi,Bilgi,Takım,Jenerik,Türkçe,Body,Kadro,Ana Liste,LOW,1,,,,hayır,,lig → kıta turnuvası,Geçerli,,590,LOW,1,,,,evet,720,880,320,480,390,480,480,480,590,480,1000,320,320,1600,390,170,140,390,210,210,260,480,480,170,140,170,210,260,480,260,390
beşiktaş basketbol canlı izle,Basketbol Süper Ligi,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Canlı İzle,İzleme,İzleme,Takım,Jenerik,Türkçe,Body,Canlı İzle,Ana Liste,LOW,0,,,,hayır,,Maç denetimi: organizasyon EuroLeague yerine Basketbol Süper Ligi,Geçerli,,140,LOW,0,,,,evet,10,590,140,140,70,110,210,260,170,140,30,10,10,590,90,10,10,110,10,20,50,70,30,0,10,10,30,110,260,30,70
beşiktaş basketbol transfer,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Transfer,Bilgi,Bilgi,Takım,Jenerik,Türkçe,Body,Transfer,Ana Liste,LOW,0,,,,hayır,,lig → kıta turnuvası,Geçerli,,880,LOW,0,,,,evet,6600,1900,110,90,70,170,720,260,170,170,390,480,1900,1900,140,70,90,260,210,210,210,480,480,390,590,1300,390,140,170,210,390
real madrid basketbol,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Body,Takım Jenerik,Ana Liste,LOW,1,0.25,0.16,0.74,hayır,,lig → kıta turnuvası,Geçerli,,18100,LOW,1,0.25,0.16,0.74,evet,1900,9900,90500,22200,14800,18100,18100,14800,18100,22200,6600,1600,1900,40500,27100,49500,18100,14800,27100,27100,22200,27100,6600,5400,2400,18100,135000,33100,33100,27100,49500
real madrid basketbol maçları,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Body,Takım Maç Sorgusu,Ana Liste,,,,,,hayır,,lig → kıta turnuvası,Geçerli,,10,,,,,,evet,0,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
real madrid basketbol fikstür,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Fikstür,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Body,Fikstür,Ana Liste,LOW,0,,,,hayır,,lig → kıta turnuvası,Geçerli,,10,LOW,0,,,,evet,10,10,20,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10
real madrid basketbol puan durumu,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Puan Durumu,Skor & Sonuç,Bilgi,Takım,Jenerik,İngilizce,Long-tail,Puan Durumu,Ana Liste,LOW,0,,,,hayır,,lig → kıta turnuvası,Geçerli,,10,LOW,0,,,,evet,10,10,10,10,10,10,10,10,0,10,10,10,0,10,20,10,10,20,10,10,10,10,10,10,10,10,20,20,30,30,20
real madrid basketbol kadrosu,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Kadro,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Body,Kadro,Ana Liste,LOW,1,,,,hayır,,lig → kıta turnuvası,Geçerli,,170,LOW,1,,,,evet,110,90,480,170,90,90,110,170,210,260,260,50,70,210,320,260,90,390,210,320,260,320,320,170,140,210,1000,320,480,320,720
real madrid basketbol canlı izle,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Canlı İzle,İzleme,İzleme,Takım,Jenerik,Türkçe,Long-tail,Canlı İzle,Ana Liste,,,,,,hayır,,lig → kıta turnuvası,Geçerli,,10,,,,,,evet,0,10,50,10,10,10,0,0,10,10,10,0,0,40,10,20,10,20,10,10,10,20,10,0,0,10,70,20,20,20,20
real madrid basketbol transfer,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Transfer,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Body,Transfer,Ana Liste,LOW,0,,,,hayır,,lig → kıta turnuvası,Geçerli,,10,LOW,0,,,,evet,50,10,10,10,10,10,10,10,10,20,30,10,30,30,40,10,10,40,140,10,30,50,140,70,90,70,20,10,10,10,10
barcelona basketbol,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Ana Liste,LOW,1,,,,hayır,,lig → kıta turnuvası,Geçerli,,1000,LOW,1,,,,evet,170,1300,590,1300,880,1900,1000,1300,1600,1300,260,90,70,590,1000,1600,1600,590,1300,1900,1300,1600,320,90,90,390,1900,1900,1300,720,2400
barcelona basketbol maçları,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Body,Takım Maç Sorgusu,Ana Liste,,,,,,hayır,,lig → kıta turnuvası,Geçerli,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcelona basketbol fikstür,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Fikstür,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Body,Fikstür,Ana Liste,,,,,,hayır,,lig → kıta turnuvası,Geçerli,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcelona basketbol puan durumu,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Puan Durumu,Skor & Sonuç,Bilgi,Takım,Jenerik,İngilizce,Body,Puan Durumu,Ana Liste,,,,,,hayır,,lig → kıta turnuvası,Geçerli,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcelona basketbol kadrosu,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Kadro,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Body,Kadro,Ana Liste,LOW,1,,,,hayır,,lig → kıta turnuvası,Geçerli,,140,LOW,1,,,,evet,50,50,40,70,70,170,90,260,260,210,210,90,70,110,210,260,110,170,90,170,260,480,170,70,70,110,320,210,480,110,390
barcelona basketbol canlı izle,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Canlı İzle,İzleme,İzleme,Takım,Jenerik,Türkçe,Body,Canlı İzle,Ana Liste,,,,,,hayır,,lig → kıta turnuvası,Geçerli,,10,,,,,,evet,0,10,10,10,10,10,10,10,10,20,10,0,0,10,10,10,50,10,10,10,10,10,20,0,0,10,20,10,50,20,20
barcelona basketbol transfer,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Transfer,Bilgi,Bilgi,Takım,Jenerik,İngilizce,Body,Transfer,Ana Liste,LOW,2,1.23,,,hayır,,lig → kıta turnuvası,Geçerli,,10,LOW,2,1.23,,,evet,40,10,10,10,10,0,10,0,0,0,10,10,20,10,10,10,10,10,10,10,10,10,30,20,30,30,10,10,10,10,10
panathinaikos,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Ana Liste,LOW,0,0.28,0.18,0.22,hayır,,lig → kıta turnuvası,Geçerli,,60500,LOW,0,0.28,0.18,0.22,evet,14800,33100,74000,40500,49500,110000,74000,60500,33100,49500,33100,165000,22200,49500,135000,49500,60500,74000,60500,60500,49500,74000,60500,110000,40500,60500,368000,1000000,450000,1000000,1830000
panathinaikos maçları,EuroLeague,Basketbol,Kıta Turnuvası,Kıta Üstü,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Maç Sorgusu,Maç & Takvim,Bilgi,Takım,Jenerik,Türkçe,Head,Takım Maç Sorgusu,Ana Liste,LOW,1,0.13,,,hayır,,lig → kıta turnuvası,Geçerli,,1300,LOW,1,0.13,,,evet,210,210,1300,880,2400,1900,1000,1000,880,1900,480,2400,590,390,1000,1600,2400,3600,2900,2900,2900,4400,5400,8100,1900,1900,14800,49500,27100,40500,74000
